Month,Median Price
2013-01-01,413500
2013-02-01,434000
2013-03-01,441000
2013-04-01,453500
2013-05-01,478500
2013-06-01,455000
2013-07-01,439000
2013-08-01,423000
2013-09-01,451510
2013-10-01,467000
2013-11-01,470000
2013-12-01,423250
2014-01-01,435000
2014-02-01,459950
2014-03-01,480000
2014-04-01,500000
2014-05-01,522000
2014-06-01,493000
2014-07-01,475000
2014-08-01,443250
2014-09-01,488900
2014-10-01,505000
2014-11-01,490800
2014-12-01,441500
2015-01-01,460000
2015-02-01,480000
2015-03-01,505000
2015-04-01,550000
2015-05-01,552000
2015-06-01,533250
2015-07-01,495000
2015-08-01,479000
2015-09-01,530000
2015-10-01,525888
2015-11-01,520000
2015-12-01,480000
2016-01-01,500000
2016-02-01,549900
2016-03-01,548900
2016-04-01,583000
2016-05-01,595000
2016-06-01,597500
2016-07-01,529000
2016-08-01,517750
2016-09-01,580000
2016-10-01,580000
2016-11-01,597500
2016-12-01,534900
2017-01-01,539900
2017-02-01,608500
2017-03-01,680000
2017-04-01,715000
2017-05-01,675000
2017-06-01,635000
2017-07-01,589500
2017-08-01,584000
2017-09-01,625000
2017-10-01,650000
2017-11-01,630000
2017-12-01,590000
2018-01-01,588000
2018-02-01,650000
2018-03-01,660000
2018-04-01,685000
2018-05-01,690000
2018-06-01,686500
2018-07-01,650000
2018-08-01,637500
2018-09-01,690000
2018-10-01,699000
2018-11-01,670000
2018-12-01,640000
2019-01-01,647000
2019-02-01,677000
2019-03-01,682000
2019-04-01,720000
2019-05-01,753000
2019-06-01,741000
2019-07-01,705000
2019-08-01,685000
2019-09-01,738000
2019-10-01,751000
2019-11-01,739000
2019-12-01,720000
2020-01-01,725000
2020-02-01,788000
2020-03-01,800000
2020-04-01,749950
2020-05-01,785000
2020-06-01,815000
2020-07-01,810000
2020-08-01,815000
2020-09-01,840000
2020-10-01,836100
2020-11-01,793500
2020-12-01,700000
2021-01-01,672000
2021-02-01,765000
2021-03-01,860000
2021-04-01,875000
2021-05-01,890000
2021-06-01,867000
2021-07-01,817700
2021-08-01,785000
2021-09-01,860000
2021-10-01,880900
2021-11-01,840000
2021-12-01,802000
2022-01-01,827500
2022-02-01,932000
2022-03-01,979000
2022-04-01,980000
2022-05-01,980000
2022-06-01,930000
2022-07-01,850000
2022-08-01,820000
2022-09-01,859000
2022-10-01,887500
2022-11-01,851000
2022-12-01,810000
2023-01-01,797500
2023-02-01,850000
2023-03-01,850000
2023-04-01,875000
2023-05-01,928800
