CPI_Can,New_Housing_Price_Index,Inflation,GDP,ON_Unemployment_Rate,Bank_Rate,CAN_Mort_Lending_Rate5yr,Mortgage_Var_Rate,Mortgage_Fixed_Rate_5yr,TO_Units_Absorbed,Bond_1-3yr_Avg
121.3,91.8,1.3,1729586.0,7.7,1.25,4.14,3.57,3.0,942.0,1.16
122.7,91.9,1.5,1734805.0,7.5,1.25,4.11,3.52,2.98,900.0,1.12
122.9,92.0,1.5,1740839.0,7.6,1.25,4.02,3.51,2.99,982.0,1.01
122.7,92.2,1.2,1743937.0,7.6,1.25,4.02,3.52,2.99,966.0,1.0
123.0,92.4,1.2,1748724.0,7.5,1.25,4.02,3.5,2.96,930.0,1.04
123.0,92.5,1.2,1742396.0,7.6,1.25,4.0,3.49,2.93,996.0,1.18
123.1,92.7,1.3,1752447.0,7.7,1.25,4.08,3.31,3.0,1085.0,1.17
123.1,92.8,1.2,1760130.0,7.7,1.25,4.14,3.13,3.11,1221.0,1.23
123.3,92.8,1.3,1766098.0,7.5,1.25,4.33,3.03,3.2,915.0,1.27
123.0,92.9,1.2,1775606.0,7.6,1.25,4.4,2.95,3.27,926.0,1.15
123.0,92.9,1.0,1779954.0,7.5,1.25,4.39,2.88,3.23,1233.0,1.1
122.7,93.0,1.2,1772541.0,7.8,1.25,4.39,2.86,3.16,980.0,1.08
123.1,93.3,1.3,1773250.0,7.5,1.25,4.38,2.83,3.17,786.0,1.04
124.1,93.6,1.2,1782226.0,7.6,1.25,4.32,2.83,3.15,835.0,1.03
124.8,93.7,1.4,1787024.0,7.4,1.25,4.16,2.84,3.06,883.0,1.06
125.2,94.0,1.4,1790684.0,7.4,1.25,4.02,2.88,2.98,916.0,1.06
125.8,94.1,1.4,1802034.0,7.6,1.25,4.02,2.87,2.98,1069.0,1.04
125.9,94.3,1.5,1810319.0,7.5,1.25,4.0,2.88,2.98,1062.0,1.08
125.7,94.3,1.5,1812914.0,7.5,1.25,4.01,2.87,2.97,870.0,1.09
125.7,94.5,1.4,1809135.0,7.3,1.25,4.01,2.85,2.95,859.0,1.08
125.8,94.6,1.5,1816399.0,7.3,1.25,4.02,2.88,2.95,1052.0,1.14
125.9,94.7,1.5,1821619.0,6.8,1.25,4.0,2.84,2.95,1031.0,1.02
125.4,94.8,1.7,1822817.0,7.2,1.25,4.0,2.8,2.96,1075.0,1.03
124.5,94.9,1.6,1825584.0,7.0,1.25,3.98,2.76,2.96,842.0,1.01
124.3,94.8,1.8,1817974.0,6.9,1.0,3.96,2.66,2.97,1073.0,0.72
125.4,95.0,1.6,1815506.0,7.0,1.0,3.91,2.55,2.89,911.0,0.43
126.3,95.0,1.7,1814460.0,6.8,1.0,3.84,2.53,2.77,720.0,0.53
126.2,95.1,1.7,1813921.0,6.8,1.0,3.76,2.56,2.67,717.0,0.58
126.9,95.1,1.9,1812920.0,6.3,1.0,3.74,2.57,2.64,744.0,0.68
127.2,95.3,1.9,1817855.0,6.5,1.0,3.72,2.56,2.66,503.0,0.63
127.3,95.5,1.9,1822436.0,6.7,0.75,3.71,2.38,2.64,725.0,0.44
127.3,95.8,1.9,1826294.0,6.9,0.75,3.71,2.28,2.65,646.0,0.4
127.1,95.9,2.0,1818765.0,6.8,0.75,3.71,2.26,2.66,570.0,0.5
127.2,96.2,2.0,1820488.0,6.8,0.75,3.72,2.28,2.68,716.0,0.53
127.1,96.4,2.1,1824776.0,6.8,0.75,3.72,2.37,2.61,743.0,0.63
126.5,96.5,2.0,1826829.0,6.8,0.75,3.75,2.46,2.47,685.0,0.53
126.8,96.7,2.1,1837860.0,6.7,0.75,3.76,2.69,2.66,1083.0,0.39
127.1,97.0,2.0,1832584.0,6.7,0.75,3.75,2.8,2.68,756.0,0.44
127.9,97.2,2.0,1825855.0,6.9,0.75,3.73,2.98,2.69,902.0,0.54
128.3,97.6,2.0,1830002.0,7.1,0.75,3.7,3.01,2.63,986.0,0.6
128.8,98.5,1.8,1819666.0,6.5,0.75,3.67,3.01,2.55,888.0,0.59
129.1,98.5,1.8,1828411.0,6.4,0.75,3.66,2.92,2.51,850.0,0.55
128.9,99.0,1.7,1839206.0,6.3,0.75,3.67,2.8,2.53,690.0,0.53
128.7,99.3,1.7,1843452.0,6.5,0.75,3.68,2.75,2.48,720.0,0.55
128.8,99.3,1.5,1848118.0,6.5,0.75,3.67,2.71,2.5,693.0,0.55
129.1,99.8,1.4,1847038.0,6.4,0.75,3.68,2.67,2.5,935.0,0.57
